#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
5000,205.1776878320204,337.08880573215697,0
10000,172.81998656168608,325.0682709645903,600
15000,224.83539816643963,352.5988256399749,590
20000,182.7854886764126,277.5625915195077,609
25000,192.4634147347679,290.3960965594574,623
30000,180.1476589776006,326.0613646169891,626
35000,176.63944502236794,355.54714021017855,631
40000,124.39274332627787,334.288682922208,636
45000,158.93189685256814,287.77097749931715,641
50000,173.42770158547071,331.7530890567364,642
55000,157.913685252078,248.8704138825676,644
60000,184.11553027602307,381.21680562211736,644
65000,182.51319098815898,275.65564635982014,644
70000,179.74526401938365,232.12451065458527,644
75000,162.31778713851355,314.360426973563,644
80000,153.8000031928648,274.5705732833949,645
85000,164.7925701025905,320.6632781185287,645
90000,160.41508943096935,287.11019302322075,645
95000,186.23610277580727,242.80198232636664,645
100000,186.13067999583942,276.4538616097514,646
105000,145.37261065407998,282.0285947697735,646
110000,232.33739865057916,342.7727073702854,645
115000,235.32384699096377,307.910987542525,645
120000,164.88334719904174,311.2367098951883,646
125000,171.63047854512362,266.9198921734062,646
130000,190.48248228163328,309.1816564800133,646
135000,155.56437061528248,281.844171009023,647
140000,164.0272960762318,240.11760232800665,647
145000,214.32144922932613,298.48386706748147,646
150000,182.76679826620787,306.7785435702791,646
155000,191.0425548720939,332.2193579629641,646
160000,214.62263961640355,360.79441429311424,646
165000,176.5978557598241,308.3397266253978,645
170000,169.52439534689972,296.0557022477704,646
175000,145.81348707328172,298.41905814703347,646
180000,156.4012924989405,352.131352020365,646
185000,190.89324268523592,254.9900560128715,646
190000,212.2267176394994,308.8918943621147,646
195000,165.31590793838305,270.53073144177097,645
200000,204.45598865462887,316.06225998879626,644
205000,163.75555811387687,261.9790655567749,644
210000,165.6492116600089,321.21354955494525,644
215000,160.26931546982,258.18019659841804,644
220000,157.33963461227998,333.40183122136875,643
225000,220.84140692341813,310.0839690037438,643
230000,165.47391418167481,297.8553975026329,642
235000,170.0576530684806,325.25521331022924,642
240000,156.45212891258254,245.06458169384206,642
245000,193.86424487429224,244.63995539908677,641
250000,197.37050311059716,316.4864558552625,641
255000,158.78834080124633,296.59827249755284,641
260000,185.02667889888838,321.26725150513636,641
265000,202.59536002983614,256.8998658952657,641
270000,179.6945000442324,217.8678049939946,641
275000,211.6698525013402,295.4825785431248,641
280000,154.94786176387606,293.2335260352456,641
285000,148.90014320734812,285.18979759410126,642
290000,180.142747772321,325.6990528999375,642
295000,175.69124968170442,328.8114232523099,642
300000,178.2973058887455,273.8352527440324,642
305000,188.35864470003781,286.9966477864196,642
310000,154.54019438827743,288.26614395170196,642
315000,224.84038772379324,294.34902945474386,642
320000,180.46608724991356,251.70837392306532,642
325000,171.29438271291227,274.62488562444565,642
330000,190.68700390063668,310.2162214458966,642
335000,214.37057483786927,338.2193193526023,642
340000,197.4734982379149,284.9941772038247,642
345000,186.97217599489204,305.1541041700128,642
350000,147.3812020788565,285.26640028845475,643
355000,173.94638295562015,227.39499188394882,644
360000,197.07875401040755,224.43199298132288,645
365000,170.75966403816173,275.1614607760875,646
370000,167.8536762197076,268.5762084600862,646
375000,172.11175399489565,305.89608809037213,647
380000,186.58851501469474,278.7469452187234,647
385000,153.45687437811154,327.9281394149763,647
390000,220.38323306665146,273.8881031260258,646
395000,204.42297772158184,310.05341547946705,646
400000,161.59195957311135,237.35836641754074,646
405000,171.36869699394182,279.2458095392273,645
410000,223.49020923752855,338.97986158854053,645
415000,169.21894905775002,285.1993736980461,645
420000,145.00407350225515,255.3308789997724,644
425000,183.83890778990164,349.2412066292825,644
430000,188.1541695852748,279.45047464785745,644
435000,188.65956498054013,245.02716350619286,644
440000,139.75349410943136,291.72973377795336,644
445000,168.68677609053805,312.8338177568216,644
450000,188.35338499282796,256.1471318130459,643
455000,149.871291964047,334.55450173519563,643
460000,185.52622546877396,256.4411727918731,643
465000,153.1574507179513,273.92313087466425,643
470000,179.96245155781463,315.1209836072456,643
475000,194.08150654386807,335.5084267421688,643
480000,197.54617425332717,365.8904442957031,643
485000,175.5591378193321,301.63782685554713,643
490000,184.71819958448978,358.7184389061359,644
495000,169.98593062438007,323.1216836638432,644
500000,175.54726599937703,312.6529223947077,644
505000,210.05165613219492,268.442751802421,644
510000,185.7908970964769,262.6838695534828,644
515000,173.7079659561636,318.6873905753089,644
520000,163.91932208657803,272.46778501768216,644
525000,177.42485915225393,397.9337761167893,643
530000,162.3295036088941,384.79228093308365,643
535000,185.81297415155836,332.57393679447654,643
540000,218.77047474002615,250.07224540479783,643
545000,186.36492961151114,253.44524488011822,643
550000,173.72261003325852,258.22218348370427,643
555000,183.0278572456645,330.0681249866943,643
560000,160.14217604101782,338.6335713774494,643
565000,190.77207127845813,343.158054804483,643
570000,181.71471409318673,269.47733118195066,643
575000,145.23502420869397,260.9246610002967,643
580000,167.99929851518226,279.0386239680732,643
585000,215.91558940333624,371.24027341551306,643
590000,183.92492398758097,279.5820222422175,643
595000,159.2789283889464,297.2303667525599,643
600000,142.68866732143894,289.8217279105078,643
605000,185.91628644887203,283.98339768148753,643
610000,193.6781852150932,374.6286130009435,643
615000,180.88679046587703,248.27579250117554,643
620000,179.55228491506261,314.48465917758466,643
625000,199.67071259389115,316.6014517250589,643
630000,157.63614734841664,299.81425112876883,643
635000,161.3556837219606,287.0994351402916,643
