#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
5000,197.3158526383415,327.3444431872381,0
10000,180.8295140982653,295.7702835973194,510
15000,208.4337471161166,334.994503130872,496
20000,158.69053743480242,268.1351643843606,485
25000,206.4564041714792,276.5903975178348,485
30000,165.94254414903043,301.5304948124465,484
35000,178.4471674854636,322.52450646387854,487
40000,170.12547575093674,339.9065946257162,487
45000,179.78371857397406,299.78941764029565,488
50000,194.1727221488875,326.92182028145135,486
55000,189.43084384779678,297.74031750044986,487
60000,209.38018581669803,319.96402898743906,488
65000,212.5000872392144,369.20314396508513,487
70000,201.2571723717579,250.1030087940038,488
75000,134.34529024723534,367.43978621470416,487
80000,197.58877307830892,323.03128725551096,488
85000,195.4159148856862,278.80901191548173,489
90000,176.45598037724702,279.28032298591046,490
95000,171.31466724600804,266.13257331019724,490
100000,133.01509869270186,278.116360316775,490
105000,172.33180142026606,352.11500809465997,491
110000,131.28635527489442,352.8474490657121,492
115000,161.00075632415212,341.1573588072216,492
120000,167.8480895179369,320.0951832888699,493
125000,190.97016923238203,375.17038534955884,494
130000,152.69663513166498,286.7446028812535,496
135000,157.42998288134964,289.1748754697628,496
140000,176.8092342871572,339.5105872607171,497
145000,153.83937254120087,355.7713936260045,498
150000,191.88554647770007,311.4053751269526,499
155000,143.06966262752593,262.5878723504086,499
160000,203.83509600361205,343.0165943309261,500
165000,177.81752184950577,330.5454313723839,500
170000,195.66494097129137,281.1010337974151,500
175000,169.20784665669544,246.51086992580912,500
180000,210.2025234075437,285.5629116528994,500
185000,166.8186235102982,331.2027962180344,500
190000,169.74503766885329,347.3522915324555,501
195000,176.178341035264,324.8639638697893,501
200000,153.42533483941014,362.2785360464842,501
205000,205.72638740423014,310.70437226686585,501
210000,159.32450793480723,278.58815523515784,502
215000,174.549172246949,292.6726989028204,502
220000,161.46318873533298,314.84019608429514,502
225000,159.03796377281705,256.95624735289215,503
230000,186.72858083620397,362.1332997303585,502
235000,195.72445638272043,313.7230458671559,502
240000,188.95228961052987,285.48937265409006,502
245000,186.53932807698394,299.42204798296615,502
250000,180.71955504359462,310.47146725346107,501
255000,156.16237636381604,266.9496072747945,501
260000,171.81587748828645,297.290387842495,501
265000,213.70676976245028,239.4646880515938,501
270000,257.72563190584947,320.0269573846888,501
275000,175.3597291522589,243.36206590659006,501
280000,173.79057786769113,310.7705727529497,501
285000,199.6610715075182,349.8617273736782,501
290000,213.66752365548308,349.2711767845348,501
295000,183.18061491488513,264.082942641998,501
300000,181.98817878473005,343.13529412851346,502
305000,170.28407606980048,297.77020139927737,502
310000,182.9605429398594,321.57200133352296,503
315000,152.0754638171269,279.0245207039941,503
320000,203.70034389171948,322.0622196403579,504
325000,155.94180840800422,253.48284169515577,504
330000,151.8688771542928,281.87543305078384,504
335000,148.57622616402145,277.61076233358625,505
340000,172.49906306864898,304.13622438352814,505
345000,200.2366861555655,334.5477478541026,505
350000,182.6923561455724,281.0975691741594,505
355000,195.77962788587269,318.4849447664194,505
360000,152.60659409153865,278.02070388295624,504
365000,176.21334491082587,231.98219718046295,504
370000,164.63893880926392,272.2749874427632,504
375000,157.13198572232594,288.7386852167097,504
380000,206.39250810019072,273.873213729687,504
385000,201.09577194679426,277.77391754126785,503
390000,146.68840436885924,282.4460503392211,503
395000,160.90188428761348,286.9399158572903,503
400000,187.57275886690294,260.5173634369041,503
405000,149.4224900248756,320.470771829788,503
410000,174.28950533234985,323.18365818970796,502
415000,146.20231758225881,294.4753229138433,502
420000,155.06110424378477,348.142713110369,502
425000,192.73778915672662,336.91961450429307,501
430000,167.36929131651357,300.3620454951027,501
435000,145.0571863613227,282.1739542666457,501
440000,170.377188914186,273.9074924044701,501
445000,156.6286250824644,250.9334776906709,501
450000,190.09726114395707,272.5739647057347,501
455000,168.99452352533055,256.27846779596507,501
460000,182.35387092942585,349.16684685663006,500
465000,183.8807218005945,244.30076678536295,500
470000,175.92289058387118,249.6642479838502,500
475000,175.41053663422963,298.9083372773523,500
480000,197.57463466953322,298.3197390516637,500
485000,181.3213281391902,299.4423497519554,500
490000,169.25886657475732,285.6061006137663,500
495000,199.06032325284926,281.01364200237504,500
500000,140.29400063970317,334.40984177597454,500
505000,204.26990031834882,281.6849925331752,500
510000,172.11034645051487,302.64740917856733,500
515000,194.67948570287356,279.81067936024095,500
520000,146.448914831271,365.64143931643486,499
525000,173.59749970021224,316.41208492409714,499
530000,156.91270974090406,262.97327017430587,499
535000,154.690080465589,231.61069303530763,499
540000,176.67389139488697,274.1931797572772,499
545000,200.51292885104476,268.53781016277526,499
550000,168.09124029462626,280.28950641212714,499
555000,153.88006551584073,229.33138157969097,499
560000,168.9858733887948,272.1727259358445,499
565000,203.08169925106932,300.6414004829156,499
570000,172.84573824506495,288.3366326398515,499
