#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
5000,173.0235035430112,336.16763587054993,0
10000,196.77891961925462,288.0501644677554,704
15000,192.6413842511339,293.34397773793086,711
20000,183.4018142278387,351.9473612442092,716
25000,235.41427649743284,282.08899662014204,714
30000,186.31102633005898,237.9009902448562,714
35000,193.61191340807568,265.5346833492325,722
40000,185.05160216024595,274.11062593210477,725
45000,149.94308310929122,270.4131194918933,726
50000,207.42519230895954,269.4701403022477,730
55000,201.0108747193637,362.7977419906584,733
60000,215.03083086425443,282.13040898057886,735
65000,212.6391649867566,337.04563721984437,737
70000,166.7400693482741,308.2425146515438,737
75000,200.03294448535019,364.4231683003413,739
80000,188.9878564632551,321.295524393239,740
85000,176.15204326701613,277.4506307162562,741
90000,216.17067217056194,299.0183155975541,740
95000,174.87485681502392,322.55074001208516,741
100000,191.96226793514595,280.3072552641215,742
105000,201.7422414220361,323.11514089761016,743
110000,185.5442284650594,317.4530523730805,742
115000,213.7749771866678,303.1130290455159,742
120000,189.6858036090697,273.6164143596398,743
125000,187.73398600751386,313.8573522726415,744
130000,206.55432214069612,291.94038647219566,744
135000,177.10046411263139,293.8367127410124,743
140000,224.8173755902534,314.10595986392474,742
145000,183.9513479141867,282.0775201115911,742
150000,195.8554956362454,252.53649631362302,743
155000,198.99447760118468,393.61034747562155,743
160000,186.244779377233,365.9574419356524,743
165000,168.167115911037,341.4655698638129,743
170000,192.9856538839529,258.8042821763284,744
175000,181.9409380871814,313.22010573744075,744
180000,193.4999657297395,320.38330660920457,744
185000,180.87104935257406,289.6905889669742,744
190000,193.90340530631786,352.68759008040445,745
195000,186.19050642762753,308.73757088856,745
200000,202.29007704121437,308.83299278428706,744
205000,190.8654787530643,243.55594740869634,745
210000,198.0783252578023,299.3383672939278,745
215000,185.43538977693208,276.10474921708413,745
220000,177.06206406275922,273.13677653546637,746
225000,191.2231110804859,273.5968351377599,745
230000,210.0390327468468,341.7875081977212,746
235000,190.87474460606768,273.1504532290876,746
240000,228.92377014502105,323.6500844201696,746
245000,190.46754872861288,235.6169934528736,746
250000,206.48737739831162,269.8923416755649,746
255000,174.43445596154558,279.802665043995,746
260000,167.1821547445536,334.03385694794827,747
265000,168.1784231048058,300.3050177647188,745
270000,208.47424099825216,308.6617144714905,746
275000,184.35624818712512,323.63986617629837,746
280000,177.36005611922673,288.85906400885756,746
285000,205.98430838383507,372.7099700738423,746
290000,180.233125123106,316.32511458263053,746
295000,195.94933794210414,272.84818577461647,746
300000,192.37300397350108,329.2417690639474,747
305000,235.36241434931068,309.9341218322946,747
310000,238.76325898748289,315.0992803573828,746
315000,166.8780167112816,243.5500993333097,746
320000,160.36451288611488,266.2454746412128,747
325000,203.1526805086833,392.998334873421,747
330000,147.2310574546593,312.8831006476365,747
335000,199.71634589398693,308.9444415908575,747
340000,224.12632184714695,263.5570076307363,747
345000,199.22580276801307,284.49325797724805,747
350000,171.33841408236384,250.41268411586037,747
355000,222.60103430978216,393.65516499264174,747
360000,185.8442881809021,333.1976005904285,747
365000,206.43920843137636,286.4368604742594,747
370000,215.8708444372711,388.81676264933236,748
375000,166.34213516641856,315.75444285399817,748
380000,171.2537333048599,262.50124869325595,747
385000,198.57000967438796,261.8281562398291,748
390000,154.1712992510905,334.07865029633734,748
395000,183.7739184025169,293.36863163669835,748
400000,168.3670951198015,283.6013138902721,748
405000,168.55647424971664,289.06365222515996,748
410000,173.77605230311949,273.85413675410035,748
415000,174.5189544177351,287.0072222862514,748
420000,172.39434209074426,319.3621501204618,748
425000,217.02236508246796,324.34032524644357,748
430000,199.98882762540285,298.07038124126797,748
435000,158.52599676855405,290.96656958152664,748
440000,211.44559413376396,256.78542149723313,749
445000,202.11488739361886,311.97913998080526,748
450000,200.95907690768908,251.8924051143417,749
455000,184.97467176789152,311.183605564579,749
460000,183.21085111974136,293.42364975938165,749
465000,217.23170280757537,364.32756602682343,749
470000,210.95613766744157,343.8390826882607,749
475000,234.5141987516859,363.78842164245,749
480000,187.2269958406994,244.14012096515384,749
485000,173.06764767222535,378.3152893833016,749
490000,168.48830351206777,269.5100981518914,749
495000,174.8044172342387,256.11778664793775,749
500000,195.27214973151183,335.1288785160837,749
505000,179.45675376359625,340.99818844627447,749
510000,172.98229013445723,351.3561638459386,749
515000,182.06560513344672,411.68795780737554,749
520000,184.6802033596146,259.2352433199181,749
525000,227.21051306039175,337.60546835504823,749
530000,204.60505822969355,310.3907059117548,749
535000,208.39165618287248,308.36722849576466,749
540000,185.78084632525403,317.83253879150897,749
545000,174.95072870399633,260.12840017074205,749
550000,198.36538157784173,381.8400157165055,750
555000,193.66738122497358,322.4804355085348,749
560000,180.74564347818998,286.99924013719743,750
565000,191.7783531603789,315.8725436398053,750
570000,188.2630888104904,273.5083186832424,750
575000,224.83830424697376,336.4980882130642,750
580000,202.0234048341572,251.01317173558678,749
585000,167.88258053819655,298.8800700471406,749
590000,193.1588780063789,249.44598586122137,749
595000,208.00678998745636,290.6365023977672,749
600000,177.24578761352703,254.5031500998925,749
605000,187.5345806658982,231.8101402756761,749
610000,249.13743165512,286.1374415773794,749
615000,141.27922810625103,342.75399481365986,749
620000,199.05855164444623,320.58373807623656,749
